제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
(주)에프엠케이,페라리캘리포니아T,2014-01-01,2017-12-31,2022-10-04,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리캘리포니아,2009-01-01,2014-12-31,2022-10-04,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,LaFerrari,2014-01-01,2015-12-31,2022-10-04,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리612스카글리에티,2008-01-01,2010-12-31,2022-10-04,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리F430스쿠데리아,2008-01-01,2009-12-31,2022-10-04,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리F430스파이더,2007-01-01,2009-12-31,2022-10-04,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리F430,2007-01-01,2009-12-31,2022-10-04,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)재규어랜드로버코리아,더 뉴 레인지로버 D350 LWB,2022-05-10,2022-06-07,2022-10-04,당사에서 수입한‘더 뉴 레인지로버’일부 차량의 제조 과정에서 배기가스 후처리장치(DPF)의 연결부 연결나사가 제대로 조여져 있지 않거나 나사 일부가 누락되어 엔진실로부터 배기가스 배출 시 연결부가 벌어져 뜨거운 배기가스가 방출될 가능성이 있음.
(주)재규어랜드로버코리아,더 뉴 레인지로버 D350 SWB,2022-01-26,2022-06-07,2022-10-04,당사에서 수입한‘더 뉴 레인지로버’일부 차량의 제조 과정에서 배기가스 후처리장치(DPF)의 연결부 연결나사가 제대로 조여져 있지 않거나 나사 일부가 누락되어 엔진실로부터 배기가스 배출 시 연결부가 벌어져 뜨거운 배기가스가 방출될 가능성이 있음.
(주)재규어랜드로버코리아,디펜더 110 P300,2022-01-17,2022-02-18,2022-10-04,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,디펜더 110 D300,2022-01-14,2022-02-23,2022-10-04,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,디펜더 110 D250,2022-01-14,2022-02-11,2022-10-04,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,디펜더 90 D250,2022-01-18,2022-01-20,2022-10-04,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,레인지로버 스포츠 SVR,2022-01-07,2022-02-03,2022-10-04,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,레인지로버 스포츠 P360,2022-01-11,2022-02-03,2022-10-04,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,레인지로버 스포츠 D300,2022-01-17,2022-02-22,2022-10-04,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,디스커버리 P360,2022-01-21,2022-02-21,2022-10-04,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,디스커버리 D300,2022-01-20,2022-02-18,2022-10-04,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,디스커버리 D250,2022-01-14,2022-01-24,2022-10-04,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,디스커버리 스포츠 P250,2022-01-27,2022-02-23,2022-10-04,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,재규어 F-Type P300 Convertible,2022-02-16,2022-02-22,2022-10-04,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,재규어 F-PACE D200,2022-02-28,2022-03-10,2022-10-04,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)다산중공업,다산중공업 CT 290S 등 6개 모델 고소작업차,2015-08-26,2018-03-30,2022-10-04,㈜다산중공업에서는 CT290S 등 6개 모델의 후미 마운팅볼트가 반복 피로하중에 대한 설계오류로 마운팅볼트가 파손되고 그로 인하여 후미 구조물에 크랙과 파손이 발생할수 있는 결함이 발견되어 이를 시정조치 하고자 합니다.
한국토요타자동차(주),렉서스 NX450h+,2021-04-22,2022-05-24,2022-10-06,"차선 유지 보조장치(LTA*)의 소프트웨어 오류로, 장치 작동 시 핸들의 중립위치가 어긋나 차선 유지 보조가 정상적으로 이루어지지 않을 가능성이 있으며, 이 경우 「자동차 및 자동차부품의 성능과 기준에 관한 규칙」제89조의 규정을 만족하지 않을 수 있음. *LTA(차선 추적 어시스트): 레이더 크루즈 컨트롤 작동 중 차선 유지에 필요한 핸들 조향을 보조하는 장치"
한국토요타자동차(주),렉서스 NX350h,2021-04-22,2022-05-24,2022-10-06,"차선 유지 보조장치(LTA*)의 소프트웨어 오류로, 장치 작동 시 핸들의 중립위치가 어긋나 차선 유지 보조가 정상적으로 이루어지지 않을 가능성이 있으며, 이 경우 「자동차 및 자동차부품의 성능과 기준에 관한 규칙」제89조의 규정을 만족하지 않을 수 있음. *LTA(차선 추적 어시스트): 레이더 크루즈 컨트롤 작동 중 차선 유지에 필요한 핸들 조향을 보조하는 장치"
기아주식회사,스포티지(NQ5),2021-07-05,2022-05-25,2022-10-06,2열 좌석 하부 전기배선의 경로가 정상 경로에서 벗어나 폴드&다이브 기능 사용 시 좌석 하부 프레임과 전기배선 간섭으로 배선이 손상되어 발열 및 좌석 화재 가능성
기아주식회사,쏘렌토R(XM페이스리프트),2012-06-29,2014-08-21,2022-10-06,쏘렌토R (XM 페이스리프트) 디젤 엔진 장착 차량에서 전기식 보조 히터(PTC) 커넥터 전기배선 고정위치 불량으로 일부 차량 운행시 커넥터 단자 손상으로 인해 차량 화재 발생 가능성이 있는 결함이 확인
기아주식회사,니로 플러스(DE PBV),2022-05-10,2022-09-05,2022-10-06,에어백 제어장치(ACU) 설계로직 미흡으로 인해 충돌 사고 시 모든 에어백(정면/측면/커튼/무릎) 및 안전띠 프리텐셔너가 전개되지 않아 탑승자 상해 발생 가능성 - 에어백 제어장치(ACU) 설계로직 미흡으로 차량 시동시 에어백시스템이 간헐적으로 정상 동작되지 않음
메르세데스벤츠코리아(주),GLE 450 4MATIC,2019-08-19,2019-08-19,2022-10-07,공급업체의 생산 오류로 인하여 후방 도어 트림 바 고정 클립이 사양에 맞지 않아 고정 클립의 잡아주는 힘이 너무 작아 트림 바가 분리될 수 있습니다.
메르세데스벤츠코리아(주),GLE 400 d 4MATIC,2018-09-18,2018-09-18,2022-10-07,공급업체의 생산 오류로 인하여 후방 도어 트림 바 고정 클립이 사양에 맞지 않아 고정 클립의 잡아주는 힘이 너무 작아 트림 바가 분리될 수 있습니다.
메르세데스벤츠코리아(주),GLE 300 d 4MATIC,2019-02-04,2019-02-04,2022-10-07,공급업체의 생산 오류로 인하여 후방 도어 트림 바 고정 클립이 사양에 맞지 않아 고정 클립의 잡아주는 힘이 너무 작아 트림 바가 분리될 수 있습니다.
화창상사(주),SPRINGFIELD DARK HORSE,2017-10-27,2019-05-07,2022-10-07,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
화창상사(주),SPRINGFIELD,2016-04-07,2015-05-07,2022-10-07,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
화창상사(주),CHIEFTAIN LIMITED,2017-05-31,2017-06-29,2022-10-07,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
화창상사(주),CHIEFTAIN DARK HORSE,2016-08-17,2018-02-02,2022-10-07,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
화창상사(주),CHIEFTAIN,2014-08-22,2017-07-20,2022-10-07,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
화창상사(주),CHIEF VINTAGE,2014-10-27,2019-06-04,2022-10-07,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
화창상사(주),CHEIF CLASSIC,2014-12-04,2015-05-06,2022-10-07,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
메르세데스벤츠코리아(주),스프린터,2018-08-09,2020-12-16,2022-10-07,공급업체 생산 오류로 인하여 후방 브레이크 캘리퍼 내 전자식 주차 브레이크의 피스톤과 모터가 완전하게 씰링되지 않을 수 있습니다.
모토스타코리아(주),JET14 ABS,2019-06-20,2020-09-29,2022-10-11,등화장치(차폭등) 색도기준 미달
모토스타코리아(주),JET14,2017-11-02,2020-10-28,2022-10-11,등화장치(차폭등) 색도기준 미달
포르쉐코리아 주식회사,718,2020-03-09,2022-07-28,2022-10-11,계기판 소프트웨어의 오류로 브레이크 진공펌프의 고장 시 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조 제5항에서 정하고 있는 식별부호로 표시가 되지 않습니다.
포르쉐코리아 주식회사,911,2019-05-23,2021-10-29,2022-10-11,계기판 소프트웨어의 오류로 브레이크 진공펌프의 고장 시 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조 제5항에서 정하고 있는 식별부호로 표시가 되지 않습니다.
포르쉐코리아 주식회사,마칸,2021-05-25,2021-12-20,2022-10-11,계기판 소프트웨어의 오류로 브레이크 진공펌프의 고장 시 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조 제5항에서 정하고 있는 식별부호로 표시가 되지 않습니다.
포르쉐코리아 주식회사,카이엔,2021-07-22,2021-11-22,2022-10-11,계기판 소프트웨어의 오류로 브레이크 진공펌프의 고장 시 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조 제5항에서 정하고 있는 식별부호로 표시가 되지 않습니다.
포르쉐코리아 주식회사,파나메라,2020-07-06,2021-11-18,2022-10-11,계기판 소프트웨어의 오류로 브레이크 진공펌프의 고장 시 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조 제5항에서 정하고 있는 식별부호로 표시가 되지 않습니다.
스카니아코리아그룹(주),스카니아카고,2021-04-01,2021-04-01,2022-10-11,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아카고,2021-03-16,2021-03-16,2022-10-11,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아카고,2021-03-17,2021-03-17,2022-10-11,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아카고,2021-02-15,2021-02-16,2022-10-11,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아카고,2021-02-15,2021-02-16,2022-10-11,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아카고,2021-02-16,2021-02-17,2022-10-11,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아카고,2021-02-24,2021-02-25,2022-10-11,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아카고,2021-02-17,2021-03-22,2022-10-11,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아트랙터,2021-04-12,2021-04-12,2022-10-11,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아트랙터,2021-02-24,2021-04-13,2022-10-11,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
비엠더블유코리아(주),BMW 530e,2021-06-29,2021-06-29,2022-10-13,"자체 품질 조사 결과 2021년 1월 28일 ~ 6월 29일 생산된 330e, 530e 모델 일부에서 제작 결함이 발견되었습니다. 배터리 셀 생산 공정 중 내부 전극이 정상적으로 재단되지 않아 와인딩 과정에서 분리막에 손상이 발생했을 가능성이 있습니다. *와인딩 : 고전압 배터리 셀 내부의 양극재, 분리막, 음극재 등 배터리 소재를 엮어서 돌돌 마는 고전압 배터리 제작 기법"
비엠더블유코리아(주),BMW 330e,2021-01-28,2021-01-28,2022-10-13,"자체 품질 조사 결과 2021년 1월 28일 ~ 6월 29일 생산된 330e, 530e 모델 일부에서 제작 결함이 발견되었습니다. 배터리 셀 생산 공정 중 내부 전극이 정상적으로 재단되지 않아 와인딩 과정에서 분리막에 손상이 발생했을 가능성이 있습니다. *와인딩 : 고전압 배터리 셀 내부의 양극재, 분리막, 음극재 등 배터리 소재를 엮어서 돌돌 마는 고전압 배터리 제작 기법"
비엠더블유코리아(주),BMW 740Le xDrive iPerformance,2017-09-28,2017-10-05,2022-10-13,"스타터 모터의 전원을 공급하는 솔레노이드에 차량 사고 등의 사유로 외부 충격이 가해지거나, 내부 전원 단자를 연결 및 차단시키는 리턴 스프링의 파손이 발생할 수 있습니다."
비엠더블유코리아(주),BMW 740e iPerformance,2016-07-28,2019-01-31,2022-10-13,"스타터 모터의 전원을 공급하는 솔레노이드에 차량 사고 등의 사유로 외부 충격이 가해지거나, 내부 전원 단자를 연결 및 차단시키는 리턴 스프링의 파손이 발생할 수 있습니다."
비엠더블유코리아(주),BMW 530e iPerformance Luxury,2019-06-13,2020-06-30,2022-10-13,"스타터 모터의 전원을 공급하는 솔레노이드에 차량 사고 등의 사유로 외부 충격이 가해지거나, 내부 전원 단자를 연결 및 차단시키는 리턴 스프링의 파손이 발생할 수 있습니다."
비엠더블유코리아(주),BMW 530e,2018-04-24,2018-04-24,2022-10-13,"스타터 모터의 전원을 공급하는 솔레노이드에 차량 사고 등의 사유로 외부 충격이 가해지거나, 내부 전원 단자를 연결 및 차단시키는 리턴 스프링의 파손이 발생할 수 있습니다."
비엠더블유코리아(주),BMW 330e iPerformance,2016-03-11,2018-07-16,2022-10-13,"스타터 모터의 전원을 공급하는 솔레노이드에 차량 사고 등의 사유로 외부 충격이 가해지거나, 내부 전원 단자를 연결 및 차단시키는 리턴 스프링의 파손이 발생할 수 있습니다."
메르세데스벤츠코리아(주),GLC 220 d 4MATIC,2022-09-13,2022-09-13,2022-10-14,조립 공정 오류로 B-필러 내의 와이어링 하니스가 펠트 스트립(felt strip)으로 고정되지 않았을 수 있습니다. 이러한 경우 차량 운행시의 진동으로 와이어링 하니스가 손상될 수 있습니다.
메르세데스벤츠코리아(주),C 200 4MATIC,2021-03-16,2021-03-26,2022-10-14,조립 공정 오류로 인해 연료 호스가 잘못된 경로로 장착되었을 수 있습니다. 스티어링 작동 시 연료 호스가 스티어링 칼럼과 간섭되어 손상될 수 있습니다.
메르세데스벤츠코리아(주),C 300,2021-03-25,2021-03-31,2022-10-14,조립 공정 오류로 인해 연료 호스가 잘못된 경로로 장착되었을 수 있습니다. 스티어링 작동 시 연료 호스가 스티어링 칼럼과 간섭되어 손상될 수 있습니다.
포드세일즈서비스코리아(유),2022년식 Aviator,2022-04-16,2022-04-25,2022-10-18,"일부 2022년식 Aviator 및 Explorer 차량은 프론트 사이드 멤버*의 강성 부족으로 충돌 시 탑승자가 상해를 입거나 엔진룸에 연료가 누출되는 안전 기준(FMVSS, 연방 자동차 안전 표준) 부적합 사항이 확인되었습니다."
포드세일즈서비스코리아(유),2022년식 Explorer FHEV,2022-04-11,2022-04-12,2022-10-18,"일부 2022년식 Aviator 및 Explorer 차량은 프론트 사이드 멤버*의 강성 부족으로 충돌 시 탑승자가 상해를 입거나 엔진룸에 연료가 누출되는 안전 기준(FMVSS, 연방 자동차 안전 표준) 부적합 사항이 확인되었습니다."
포드세일즈서비스코리아(유),2022년식 Explorer,2022-04-06,2022-05-01,2022-10-18,"일부 2022년식 Aviator 및 Explorer 차량은 프론트 사이드 멤버*의 강성 부족으로 충돌 시 탑승자가 상해를 입거나 엔진룸에 연료가 누출되는 안전 기준(FMVSS, 연방 자동차 안전 표준) 부적합 사항이 확인되었습니다."
포드세일즈서비스코리아(유),2022년식 Bronco,2022-01-12,2022-04-12,2022-10-18,"2022년식 Bronco 차량의 앞면 창유리의 부착 불량으로 특정 속도 이하에서 충돌 시 앞면 창유리 부착면이 50% 이상 이탈되는 안전 기준(FMVSS, 연방 자동차 안전 표준) 부적합 사항이 확인되었습니다."
메르세데스벤츠코리아(주),Mercedes-AMG EQS 53 4MATIC+,2021-07-14,2021-07-14,2022-10-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
메르세데스벤츠코리아(주),EQS 450 4MATIC,2021-10-25,2021-10-25,2022-10-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
메르세데스벤츠코리아(주),EQS 450+,2021-03-15,2021-10-08,2022-10-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
메르세데스벤츠코리아(주),EQS 350,2021-09-07,2021-09-07,2022-10-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
메르세데스벤츠코리아(주),EQE 350,2021-12-10,2021-12-22,2022-10-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
메르세데스벤츠코리아(주),Maybach S 580 4MATIC,2021-07-03,2021-09-13,2022-10-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
메르세데스벤츠코리아(주),S 580 4MATIC,2021-09-23,2021-10-21,2022-10-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
메르세데스벤츠코리아(주),S 500 4MATIC,2021-06-30,2021-10-04,2022-10-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
메르세데스벤츠코리아(주),S 450 4MATIC,2021-06-28,2021-10-18,2022-10-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
메르세데스벤츠코리아(주),S 400 d 4MATIC,2021-07-07,2021-10-21,2022-10-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
메르세데스벤츠코리아(주),S 350 d,2021-08-02,2021-10-19,2022-10-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
메르세데스벤츠코리아(주),C 300,2021-03-26,2021-03-31,2022-10-21,비상 통신 모듈의 소프트웨어 오류로 인하여 비상 통신 시스템(eCall)이 작동되지 않을 수 있습니다.
포르쉐코리아 주식회사,타이칸,2021-05-31,2021-05-31,2022-10-21,"계기판 소프트웨어의 오류로 브레이크 진공펌프의 고장 시 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조 제5항에서 정하고 있는 식별부호로 표시가 되지 않습니다. 2022RIV169 리콜 보고 이후 2022년 9월 27일 같은 결함에 해당되는 차량 1대를 독일 본사로부터 인지하여 이에 추가 보고를 하고 시정조치를 시행하고자 합니다. 해당 추가 차량 1대는 포르쉐코리아를 거치지 않고 LG 전자에서 연구, 시험 목적으로 직수입한 차량으로 확인되었습니다. 따라서, 당사에서 매출액이 발생하지 않은 차량입니다."
